bik,tl
"Dai kamo maghona na makakaligtas kamo sa padusa huli ta ama nindo si Abraham. Sinasabihan ko kamo, na sa mga gapong ini an Dios makakagibo nin mga aki para ki Abraham.","At huwag ninyong sabihin sa inyong sarili, ‘Si Abraham ang aming ama’; sapagkat sinasabi ko sa inyo, na kaya ng Diyos na gumawa ng mga anak ni Abraham mula sa mga batong ito."
"Dawa ngunyan, andam na an patok sa pagputol kan gamot kan mga kahoy; an lambang kahoy na dai nagtatao nin marahay na bunga papalodon saka isusugba sa kalayo.",Ngayon pa lamang ay nakalagay na ang palakol sa ugat ng mga punungkahoy. Ang bawat punungkahoy na hindi mabuti ang bunga ay pinuputol at inihahagis sa apoy.
"Binubunyagan ko kamo sa tubig sa pagpahiling na kamo nagbakle na, alagad an maabot sunod sako mabunyag saindo sa Espiritu Santo asin sa kalayo. Mas mapangyari siya ki sa sako; asin dai ako maninigong magbitbit kan saiyang sandalyas.",“Binabautismuhan ko nga kayo sa tubig para sa pagsisisi ngunit ang dumarating na kasunod ko ay mas makapangyarihan kaysa akin. Hindi ako karapat-dapat magdala ng kanyang sandalyas. Kanyang babautismuhan kayo sa Espiritu Santo at sa apoy.
"May dara siyang saligsigan nganing saligsigon an gabos na inani. An paroy titiponon niya sa saiyang harong-harong, alagad an ata susuloon niya sa kalayong dai nasisigbo.”","Nasa kamay niya ang kanyang kalaykay at lilinisin niya ang kanyang giikan. Titipunin niya ang kanyang trigo sa kamalig, subalit ang ipa ay susunugin niya sa apoy na hindi mapapatay.”"
"Kan oras na idto, nagduman si Jesus ki Juan sa Salog nin Jordan hale sa Galilea tanganing magpabunyag.",At mula sa Galilea pumunta si Jesus kay Juan sa Jordan upang magpabautismo sa kanya.
"Alagad hiningowa ni Juan na magbago nin isip si Jesus, kaya nagsabi siya, “Ako an nangangaipong bunyagan mo, alagad ika pa logod an mapabunyag sako?”","Ibig siyang hadlangan ni Juan, na nagsasabi, “Ako ang dapat mong bautismuhan, at ikaw pa ang lumalapit sa akin?”"
"“Bayaan mong mangyari ini ngunyan, huli ta sa paaging ini maootob ta an hinahagad nin Dios,” an simbag ni Jesus. Kaya nag-oyon si Juan.","Ngunit sumagot si Jesus sa kanya, “Hayaan mong mangyari ito ngayon, sapagkat ganito ang nararapat sa atin upang matupad ang buong katuwiran.” At siya ay sumang-ayon."
"Kan mabunyagan na si Jesus, naghawas siya tolos sa tubig, asin uya, nabuksan an kalangitan, dangan nahiling niya an Espiritu nin Dios na naghilig arog sa salampati asin nagtugdon saiya.","Nang mabautismuhan si Jesus, kaagad siyang umahon sa tubig, at nabuksan sa kanya ang kalangitan, at nakita niya ang Espiritu ng Diyos na bumababang tulad sa isang kalapati, at lumalapag sa kanya."
"Dangan may tingog hale sa langit na nagsabi, “Ini an namomotan kong Aki na sakong ikinakaogma.”","Sinabi ng isang tinig mula sa langit, “Ito ang minamahal kong Anak, sa kanya ako lubos na nalulugod.”"
"Pakatapos, dinara si Jesus kan Espiritu Santo duman sa kalangtadan tanganing pagsugotan kan Demonyo.","Pagkatapos nito, si Jesus ay dinala ng Espiritu Santo sa ilang upang tuksuhin ng diyablo."
"Nag-ayuno siya sa laog nin kwarentang aldaw saka kwarentang banggi, asin nagutom siya.","Siya ay apatnapung araw at apatnapung gabing nag-ayuno, pagkatapos ay nagutom siya."
"Dinolok siya kan Demonyo na nagsabi, “Kun ika an Aki nin Dios, pagbotan mo na magin tinapay an mga gapong ini.”","Dumating ang manunukso at sinabi sa kanya, “Kung ikaw ang Anak ng Diyos, ipag-utos mo na ang mga batong ito ay maging tinapay.”"
"Alagad nagsimbag si Jesus, “Nasusurat, ‘Bakong sa tinapay sana nabubuhay an tawo, kundi sa lambang tataramon na minagikan sa ngoso nin Dios.’”","Ngunit siya'y sumagot, “Nasusulat,"
"Dangan dinara si Jesus kan Demonyo sa Jerusalem an Banal na Syudad asin pinatindog sa atop kan Templo,","‘Hindi sa tinapay lamang mabubuhay ang tao,"
"saka sinabihan, “Kun ika an Aki nin Dios, lumampaw ka, huli ta nasusurat,",kundi sa bawat salitang lumalabas sa bibig ng Diyos.’”
‘Pagbobotan nin Dios an saiyang mga anghel tanganing atamanon ka;,"Pagkatapos ay dinala siya ng diyablo sa banal na lunsod at inilagay siya sa taluktok ng templo,"
"sasalohon ka ninda kan saindang mga kamot,","at sinabi sa kanya, “Kung ikaw ang Anak ng Diyos, magpatihulog ka, sapagkat nasusulat,"
ta tibaad tumama an saimong bitis sa kagapoan.’”,"‘Siya'y mag-uutos sa kanyang mga anghel tungkol sa iyo,’"
"Nagsimbag si Jesus, “Nasusurat man, ‘Dai mo pagsugotan an Kagurangnan mong Dios.’”","at ‘Aalalayan ka ng kanilang mga kamay,"
Dangan dinara si Jesus kan Demonyo sa sarong halangkawon na bukid. Ipinatanaw saiya an gabos na kahadean sa kinaban asin an saindang kamurawayan.,baka masaktan ang iyong paa sa isang bato.’”
"Nagsabi an Demonyo, “Iyan gabos itatao ko saimo, kun lumuhod ka asin magsamba sako.”","Sinabi sa kanya ni Jesus, “Nasusulat din naman, ‘Huwag mong tutuksuhin ang Panginoon mong Diyos.’”"
"Sinimbag siya ni Jesus, “Humale ka, Satanas! Huli ta nasusurat, ‘Sambahon mo an Kagurangnan mong Dios, asin siya sana an saimong paglingkodan.’”","Muli, dinala siya ng diyablo sa isang napakataas na bundok at ipinakita sa kanya ang lahat ng mga kaharian sa sanlibutan, at ang karangyaan ng mga ito."
"Pakatapos, binayaan siya kan Demonyo; dangan nagdatong an mga anghel asin naglingkod saiya.","At sinabi niya sa kanya, “Ang lahat ng mga ito ay ibibigay ko sa iyo, kung ikaw ay magpapatirapa at sasamba sa akin.”"
"Kan madangog ni Jesus na si Juan nabibilanggo, nagduman siya sa Galilea.","Sumagot sa kanya si Jesus, “Lumayas ka, Satanas! sapagkat nasusulat, ‘Sambahin mo ang Panginoon mong Diyos, at siya lamang ang iyong paglingkuran.’”"
"Naghale siya sa Nazaret asin nag-erok sa Capernaum. An banwaan na ini nasa tampi kan Danaw nin Galilea, sa teritoryo nin Zabulon asin Neftali.",Pagkatapos nito'y iniwan siya ng diyablo at dumating ang mga anghel at pinaglingkuran siya.
Huli kaini naotob an sinabi ni Propeta Isaias:,"Nang mabalitaan ni Jesus na dinakip si Juan, pumunta siya sa Galilea."
"“Daga nin Zabulon asin daga nin Neftali,","Nang iwan niya ang Nazaret, siya ay pumunta at tumira sa Capernaum, na nasa tabing-dagat, na sakop ng Zebulon at Neftali,"
"inaagihan pasiring sa dagat, sa ibong kan Jordan,",upang matupad ang sinabi sa pamamagitan ni propeta Isaias:
Galilea kan mga pagano!,"“Ang lupain ni Zebulon at ang lupain ni Neftali,"
An mga nag-eerok sa kadikloman,"patungo sa dagat, sa ibayo ng Jordan, Galilea ng mga Hentil—"
makakahiling nin dakulang ilaw!,"Ang bayang nakaupo sa kadiliman,"
An liwanag masirang sa mga nag-eerok,"ay nakakita ng dakilang ilaw,"
sa madiklom na daga nin kagadanan!”,"at sa mga nakaupo sa lupain at lilim ng kamatayan,"
"Poon kaidto naghulit na si Jesus. Olay niya, “Magbakle na kamo huli ta harani na an Kahadean nin langit!”",ang liwanag ay sumilay.”
"Kan naglalakaw si Jesus sa baybayon kan Danaw nin Galilea, nahiling niya an magtugang na parasira, si Simon na inaapod Pedro asin si Andres. Nag-iitsa sinda kan hikot sa tubig.","Mula noon si Jesus ay nagpasimulang mangaral na nagsasabi, “Magsisi kayo, sapagkat malapit na ang kaharian ng langit.”"
"Sinabihan niya sinda, “Sumunod kamo sako, asin gigibohon ko kamong parasira nin mga tawo.”","Sa paglalakad ni Jesus sa tabi ng Dagat ng Galilea, nakita niya ang dalawang magkapatid, si Simon na tinatawag na Pedro, at si Andres na kanyang kapatid, na naghuhulog ng lambat sa dagat, sapagkat sila'y mga mangingisda."
Binayaan ninda tolos an saindang mga hikot asin nagsunod ki Jesus.,"Sinabi niya sa kanila, “Sumunod kayo sa akin at gagawin ko kayong mga mamamalakaya ng mga tao.”"
"Sa oroenotan, nahiling niya an magtugang na Santiago asin Juan, mga aki ni Zebedeo. Nasa sakayan sinda kaiba an saindang ama, nagpapakarahay kan saindang mga hikot. Inapod man sinda ni Jesus.",Kaagad nilang iniwan ang kanilang mga lambat at sumunod sa kanya.
"Binayaan ninda tolos an sakayan asin an saindang ama, dangan nagsunod ki Jesus.","At sa kanyang paglakad mula roon ay nakita niya sa bangka ang dalawa pang magkapatid, si Santiago na anak ni Zebedeo at si Juan na kanyang kapatid, kasama si Zebedeo na kanilang ama, na nag-aayos ng lambat; at kanyang tinawag sila."
"Kan mahiling ni Jesus an kadakul na tawo, tuminukad siya sa sarong bulod. Pakatukaw niya, nagdorolok saiya an mga disipulo niya.","Nang makita ni Jesus ang napakaraming tao, umakyat siya sa bundok, at pagkaupo niya ay lumapit sa kanya ang mga alagad niya."
Dangan tinukdoan niya sinda kaini:,"At binuka niya ang kanyang bibig at tinuruan sila, na sinasabi:"
"“Paladan an mga dukha sa espiritu,","“Mapapalad ang mga dukha sa espiritu, sapagkat kanila ang kaharian ng langit."
huli ta sainda an Kahadean nin langit!,"“Mapapalad ang mga nahahapis, sapagkat sila ay aaliwin."
"“Paladan an mga nagmomondo,","“Mapapalad ang mga mapagpakumbaba, sapagkat mamanahin nila ang lupa."
huli ta sinda rarangahon!,"“Mapapalad ang mga nagugutom at nauuhaw sa katuwiran, sapagkat sila ay bubusugin."
"“Paladan an mga mahuyo,","“Mapapalad ang mga mahabagin, sapagkat sila'y kahahabagan."
huli ta sinda an magmamana kan daga!,"“Mapapalad ang mga may malinis na puso, sapagkat makikita nila ang Diyos."
"“Paladan an mga nagugutom asin napapaha sa katanosan,","“Mapapalad ang mga mapagpayapa, sapagkat sila ay tatawaging mga anak ng Diyos."
huli ta sinda pakababasogon!,"“Mapapalad ang mga inuusig dahil sa katuwiran, sapagkat kanila ang kaharian ng langit."
"“Paladan an mga maheherakon,","“Mapapalad kayo kapag kayo ay nilalait, inuusig, at pinagsasabihan ng sari-saring kasamaan na pawang kasinungalingan dahil sa akin."
huli ta sinda maheherakan!,"“Magalak kayo at magsaya, sapagkat malaki ang gantimpala ninyo sa langit, sapagkat gayundin nila inusig ang mga propeta na nauna sa inyo."
"“Paladan an mga malinig an puso,","“Kayo ang asin ng lupa; ngunit kung ang asin ay tumabang, paano maibabalik ang alat nito? Wala na itong kabuluhan, maliban sa itapon sa labas at tapakan ng mga tao."
huli ta mahihiling ninda an Dios!,“Kayo ang ilaw ng sanlibutan. Ang isang lunsod na nakatayo sa ibabaw ng isang burol ay hindi maitatago.
“Paladan an mga parapatoninong,"Hindi nila sinisindihan ang isang ilawan at inilalagay sa ilalim ng isang takalan, kundi sa talagang patungan at nagbibigay ng liwanag sa lahat ng nasa bahay."
huli ta aapodon sindang mga aki nin Dios!,"Paliwanagin ninyo nang gayon ang inyong ilaw sa harap ng mga tao; upang makita nila ang inyong mabubuting gawa, at luwalhatiin nila ang inyong Ama na nasa langit."
"“Paladan an mga pinapasakitan dahel sa katanosan,","“Huwag ninyong isiping pumarito ako upang sirain ang kautusan o ang mga propeta; pumarito ako hindi upang sirain, kundi upang tuparin ang mga ito."
huli ta sainda an Kahadean nin langit!,"Sapagkat katotohanang sinasabi ko sa inyo, hanggang sa mawala ang langit at lupa, ang isang tuldok o isang kudlit ay hindi mawawala sa kautusan, hanggang sa matupad ang lahat ng mga bagay."
"“Paladan kamo kun minumuda kamo, pinapasakitan asin pinapakaraot kan mga tawo dahel sako.","Kaya't sinumang sumuway sa isa sa pinakamaliit sa mga utos na ito, at magturo nang gayon sa mga tao ay tatawaging pinakamaliit sa kaharian ng langit; ngunit ang sinumang tumupad at magturo ng mga ito ay tatawaging dakila sa kaharian ng langit."
"Arog man kaini an ginibo sa mga propetang naenot saindo. Orog na mag-ogma kamo, ta dakula an balos saindo sa langit.","Sapagkat sinasabi ko sa inyo, malibang humigit ang inyong katuwiran sa katuwiran ng mga eskriba at mga Fariseo, ay hindi kayo makakapasok sa kaharian ng langit."
"“Kamo an asin kan kinaban. Kun mawaran nin asgad an asin, paano pang mapaasgad iyan? Dai na iyan nin pakinabang, kaya inaapon na sana dangan binabatayan nin mga tawo.","“Narinig ninyo na sinabi sa mga tao noong unang panahon, ‘Huwag kang papatay; at ang sinumang pumatay ay mananagot sa hukuman.’"
“Kamo an ilaw kan kinaban. Dai nanggad matatago an sarong syudad na nasa ibabaw nin bulod.,"Ngunit sinasabi ko sa inyo, na ang bawat napopoot sa kanyang kapatid ay mananagot sa hukuman at ang sinumang magsabi sa kanyang kapatid, ‘Raca,’ ay mananagot sa Sanhedrin; at ang sinumang magsabi, ‘Ulol ka,’ ay magdurusa sa nag-aapoy na impiyerno."
Mayong minasulo nin ilaw dangan tinatahoban iyan; kundi ibinubugtak sa talagang bugtakan nganing maliwanagan an gabos na nasa harong.,"Kaya't kung maghahandog ka ng iyong kaloob sa dambana, at doon ay naalala mo na ang iyong kapatid ay mayroong anumang laban sa iyo,"
"Dapat arog kamo kaiyan. Paliwanagon nindo an saindong ilaw sa gabos na tawo, tanganing mahiling ninda an mga marahay nindong gibo; huli kaiyan oomawon ninda an saindong Ama na nasa langit.","iwan mo roon sa harap ng dambana ang kaloob mo, at humayo ka; makipagkasundo ka muna sa iyong kapatid, at saka ka magbalik at maghandog ng iyong kaloob."
“Dai kamo maghona na nagdigdi ako tanganing halean nin halaga an Katogonan ni Moises o an katukdoan kan mga propeta; nagdigdi ako tanganing maotob iyan.,"Makipagkasundo ka agad sa nagsakdal sa iyo, habang kasama mo pa siya sa daan; baka ibigay ka ng nagsakdal sa iyo sa hukom, at ibigay ka naman ng hukom sa tanod, at ipasok ka sa bilangguan."
"Sa katotoohan sinasabihan ko kamo, mawara man an langit asin an daga, alagad dai mawawaraan nin halaga maski an pinakasadit na detalye o punto kan Katogonan sagkod na maotob an gabos.","Katotohanang sinasabi ko sa iyo, hindi ka makakalabas doon hanggang hindi mo nababayaran ang kahuli-hulihang kusing."
"Kaya an maglapas dawa kan pinakasadit na kabtang sa mga togon asin magtukdo kan paglapas kaiyan, ibibilang na pinakasadit sa kahadean nin langit. Alagad an mag-otob kan Katogonan asin magtukdo kaiyan, ibibilang na dakula sa Kahadean nin langit.","“Narinig ninyo na sinabi, ‘Huwag kang mangangalunya.’"
"Huli ta sinasabihan ko kamo, na kun an saindong katanosan dai lumampas sa katanosan kan mga paratukdo kan Katogonan asin kan mga Fariseo, dai kamo makakalaog sa Kahadean nin langit.","Ngunit sinasabi ko sa inyo, na ang bawat tumitingin sa isang babae na may pagnanasa ay nagkasala na sa kanya ng pangangalunya sa kanyang puso."
"“Nadangog nindo na itinukdo kaidto sa mga tawo, ‘Dai ka maggadan; an siisay man na makagadan, huhukoman.’","Kung ang kanan mong mata ang sanhi ng iyong pagkakasala, dukitin mo ito at itapon, sapagkat mabuti pang mawalan ka ng isa sa mga bahagi ng iyong katawan kaysa ang buong katawan mo ay mapatapon sa impiyerno."
"Alagad ngunyan sinasabihan ko kamo: an maanggot sa saiyang tugang (na mayo nin dahelan), huhukoman; an mag-insulto sa saiyang tugang, dadarahon sa Konseho. An magsabing, ‘Mayo kang pakinabang!’ ihuhulog sa impyerno.","At kung ang kanan mong kamay ang sanhi ng iyong pagkakasala, putulin mo ito at itapon, sapagkat mabuti pang mawalan ka ng isa sa mga bahagi ng iyong katawan kaysa ang buong katawan mo ay mapunta sa impiyerno."
"Kaya kun madara ka nin dolot sa altar, dangan maromdoman mo na anggot saimo an saimong tugang,","“Sinabi rin naman, ‘Sinumang makipaghiwalay sa kanyang asawang babae, dapat niyang bigyan ito ng kasulatan ng paghihiwalay.’"
"iwalat mo ngona an dolot sa atubang kan altar, dangan makiolian ka saiya. Saka ka magbalik tanganing magdolot sa Dios.","Ngunit sinasabi ko sa inyo, na ang bawat nakikipaghiwalay sa kanyang asawang babae maliban sa pakikiapid, ay nagtutulak sa kanya sa pakikiapid; at ang sinumang mag-asawa sa babaing hiniwalayan ay nagkakasala ng pangangalunya."
"“Kun may tawong masangat nin kaso tumang saimo asin dinadara ka sa husgado, makiareglo ka saiya mantang igwa pa nin oras, bago kamo umabot sa husgado. Ta kun dai, itatao ka niya sa hukom, na iyo an matao saimo sa pulis na malaog saimo sa bilanggoan.","“Narinig din ninyo na sinabi sa mga tao noong unang panahon, ‘Huwag mong sisirain ang iyong panata kundi tutuparin mo ang iyong mga ipinanata sa Panginoon.’"
"Sa katotoohan sinasabihan taka, dai ka makakaluwas diyan, sagkod na dai mo mabayadan an huring sentabo kan multa.","Ngunit sinasabi ko sa inyo, huwag ninyong ipanumpa ang anuman, maging ang langit, sapagkat iyon ang trono ng Diyos;"
"“Nadangog nindo na itinukdo kaidto, ‘Dai ka magdorog sa bako mong agom.’","kahit ang lupa, sapagkat ito ang tuntungan ng kanyang mga paa; kahit ang Jerusalem, sapagkat iyon ang lunsod ng dakilang Hari."
"Alagad ngunyan sinasabihan ko kamo: an maghiling sa sarong babae na may pagmawot na dorogan siya, nagkakasala na nin panambay.","Huwag mong ipanumpa maging ang iyong ulo, sapagkat hindi mo magagawang puti o itim ang isang buhok."
"Kaya kun an too mong mata an nagigin dahelan kan pagkakasala mo, hulwata iyan asin tapokan! Mas marahay pang mawaran nin sarong kabtang an saimong hawak ki kan itapok an bilog mong hawak sa impyerno.",Ngunit ang inyong pananalita ay maging oo kung oo; Hindi kung hindi; anumang higit pa rito ay buhat sa masama.
"Kun an too mong kamot an nagigin dahelan kan pagkakasala mo, putola iyan asin tapokan. Mas marahay pang mawaraan nin sarong kabtang an saimong hawak ki kan itapok an bilog mong hawak sa impyerno.","“Narinig ninyo na sinabi, ‘Mata sa mata, at ngipin sa ngipin.’"
"“Itinukdo man kaidto, ‘An siisay man na magsuhay sa saiyang agom, dapat tawan niya kan kasuratan nin pakisuhay.’","Ngunit sinasabi ko sa inyo, ‘Huwag ninyong labanan ang masamang tao.’ At kung ikaw ay sampalin ng sinuman sa kanang pisngi, iharap mo rin sa kanya ang kabila."
"Alagad ngunyan sinasabihan ko kamo: kun suhayan kan lalaki an agom niya na dai man nagpasambay, nagkakasala huli ta siya an nagsubol saiya sa adulteryo, kun ini magpaagom giraray. An lalaking umagom saiya nagkakasala man nin adulteryo.","Kung ipagsakdal ka ng sinuman, at kunin ang iyong baro, ibigay mo rin sa kanya ang iyong balabal."
"“Nadangog man nindo na itinukdo sa mga tawo kaidto, ‘Dai mo ipasudya an saimong panuga, kundi otobon mo an sinumpaan mo sa Kagurangnan.’","Kung may sinumang pumilit sa iyo na lumakad ka ng isang milya, lumakad ka ng dalawang milya na kasama niya."
"Alagad ngunyan sinasabihan ko kamo na dai kamo magsumpa kun nanunuga kamo. Dai kamo magsabing, ‘Saksi ko an langit,’ ta iyan an trono nin Dios;","Bigyan mo ang humihingi sa iyo, at huwag mong pagkaitan ang ibig humiram mula sa iyo."
"o ‘Saksi ko an daga,’ ta iyan an tungtongan kan saiyang mga bitis. Dai kamo magsabi, ‘Saksi ko an Jerusalem,’ ta iyan an syudad kan dakulang Hade.","“Narinig ninyo na sinabi, ‘Ibigin mo ang iyong kapwa, at kapootan mo ang iyong kaaway.’"
"Dai man kamo magsabi, ‘Maski pa pugotan ako,’ huli ta maski an sarong buhok dai nindo magigibong puti o itom.","Ngunit sinasabi ko sa inyo, Ibigin ninyo ang inyong mga kaaway, at idalangin ninyo ang umuusig sa inyo,"
Sabihon sana nindong ‘Iyo’ o ‘Dai’—an anoman na idagdag nindo kaini gikan sa maraot.,"upang kayo'y maging mga anak ng inyong Ama na nasa langit, sapagkat pinasisikat niya ang kanyang araw sa masasama at sa mabubuti, at nagpapaulan sa mga matuwid at sa mga di-matuwid."
"“Nadangog na nindong sinabi kaidto, ‘Mata sa mata; ngipon sa ngipon.’","Sapagkat kung umiibig kayo sa mga umiibig lamang sa inyo, anong gantimpala mayroon kayo? Hindi ba gayundin ang ginagawa maging ng mga maniningil ng buwis?"
"Alagad ngunyan sinasabihan ko kamo: dai kamo magbalos sa naggigibo saindo nin maraot. Kun may sumampaling kan too mong pisngi, ipasampaling mo pa an sa ibong.","At kung mga kapatid lamang ninyo ang inyong binabati, anong ginagawa ninyo na higit kaysa iba? Hindi ba't kahit ang mga Hentil ay gayundin ang ginagawa?"
"Kun may mag-akusar saimo ta boot niyang kuahon an bado mo, itao mo saiya pati an saimong alikboy.","Kaya't kayo nga'y maging sakdal, gaya ng inyong Ama sa langit na sakdal."
"“Mag-ingat kamo na an saindong mga gibong herak bakong sa pagpahiling sa mga tawo. Kun arog kaiyan an gibo nindo, dai na kamong aakoon na balos hale sa saindong Ama sa langit.","“Mag-ingat kayo na huwag ninyong gawin ang inyong kabanalan sa harap ng mga tao upang makita nila. Sapagkat kung gayon, wala kayong gantimpala mula sa inyong Ama na nasa langit."
"“Kaya kun naglilimos kamo, dai nindo iyan ipagpabantog, arog kan ginigibo kan mga parasagin-sagin sa mga sinagoga asin sa mga tinampo. Ginigibo ninda iyan tanganing omawon sinda kan mga tawo. Sa katotoohan sinasabihan ko kamo, inako na ninda an balos.","“Kaya, kapag ikaw ay naglilimos, huwag kang magpapatunog ng trumpeta sa harapan mo, gaya ng ginagawa ng mga mapagkunwari sa mga sinagoga at sa mga lansangan, upang papurihan sila ng mga tao. Katotohanang sinasabi ko sa inyo, tinanggap na nila ang kanilang gantimpala."
"Kaya kun kamo maglimos, dai nindo ipaisi sa wala nindong kamot an ginigibo kan saindong too,","Ngunit kapag ikaw ay naglilimos, huwag mong hayaang malaman ng iyong kaliwang kamay ang ginagawa ng iyong kanang kamay,"
tanganing magin hilom an saindong paglimos; asin babalosan kamo kan saindong Ama na nakakahiling sa hilom.,upang maging lihim ang iyong paglilimos; at ang iyong Ama na nakakakita ng mga lihim ay gagantimpalaan ka.
"“Kun namimibi kamo, dai nindo pag-arogon an mga parasagin-sagin! Boot nindang mamibi na nakatindog sa mga sinagoga asin sa mga kanto kan mga tinampo tanganing mahiling kan mga tawo. Sa katotoohan sinasabihan ko kamo, inako na ninda an balos.","“At kapag kayo ay nananalangin, huwag kayong maging tulad sa mga mapagkunwari; sapagkat ibig nilang tumayo at manalangin sa mga sinagoga at sa mga panulukan ng mga lansangan upang makita sila ng mga tao. Katotohanang sinasabi ko sa inyo, tinanggap na nila ang kanilang gantimpala."
"Alagad kun namimibi kamo, lumaog kamo sa kwarto asin maminto kamo. Diyan kamo mamibi sa saindong Ama na dai nahihiling; asin babalosan kamo kan saindong Ama na nakakahiling sa hilom.","Ngunit kapag ikaw ay mananalangin, pumasok ka sa iyong silid, at pagkasara mo ng iyong pinto ay manalangin ka sa iyong Ama na nasa lihim, at ang iyong Ama na nakakakita ng mga lihim ay gagantimpalaan ka."
"“Kun namimibi kamo, dai kamo maggamit nin dakul na tataramon na mayo man sana nin kahulogan, arog kan ginigibo kan mga pagano. Paghona ninda, dadangogon sinda nin Dios huli ta kadakul kan itinataram ninda.","“At sa pananalangin ay huwag kayong gumamit ng walang kabuluhang paulit-ulit, na tulad ng ginagawa ng mga Hentil, sapagkat inaakala nilang sila ay pakikinggan dahil sa marami nilang salita."
Dai nindo sinda pag-arogon huli ta aram na kan saindong Ama an kaipuhan nindo bago nindo hagadon iyan saiya.,"Huwag nga kayong tumulad sa kanila, sapagkat alam na ng inyong Ama ang mga bagay na inyong kinakailangan, bago pa kayo humingi sa kanya."
Arog kaini an pagpamibi nindo:,"Manalangin nga kayo nang ganito: Ama naming nasa langit, sambahin nawa ang pangalan mo."
"‘Ama nyamong nasa langit,","Dumating nawa ang kaharian mo. Masunod nawa ang kalooban mo, kung paano sa langit, gayundin naman sa lupa."
Sambahon an ngaran mo;,Bigyan mo kami ngayon ng aming pagkain sa araw-araw.
dumatong an kahadean mo;,"At patawarin mo kami sa aming mga utang, gaya rin namin na nagpapatawad sa mga may utang sa amin."
kuyogon an boot mo digdi sa daga siring sa langit.,"At huwag mo kaming dalhin sa tukso, kundi iligtas mo kami sa masama."
Itao mo samuya an samong kakanon sa aroaldaw.,"Sapagkat kung pinatatawad ninyo ang mga tao sa kanilang mga kasalanan, patatawarin din naman kayo ng inyong Ama na nasa langit."
"Patawada kami kan samong mga kasalan,","Ngunit kung hindi ninyo pinatatawad ang mga tao sa kanilang mga kasalanan, hindi rin naman kayo patatawarin ng inyong Ama sa inyong mga kasalanan."
siring kan pagpatawad nyamo sa mga nagkasala samuya.,"“At kapag kayo ay nag-aayuno, huwag kayong magmukhang mapanglaw, tulad ng mga mapagkunwari, sapagkat pinasasama nila ang kanilang mga mukha upang ipakita sa mga tao ang kanilang pag-aayuno. Katotohanang sinasabi ko sa inyo, tinanggap na nila ang kanilang gantimpala."
"Hare kami pabayae na madaog nin sogot,","Ngunit kapag nag-aayuno ka, lagyan mo ng langis ang iyong ulo, at maghilamos ka ng iyong mukha;"
alagad agawon mo kami sa maraot.’,"upang ang iyong pag-aayuno ay hindi makita ng mga tao, kundi ng iyong Ama na nasa lihim, at gagantimpalaan ka ng iyong Ama na nakakakita ng lihim na bagay."
"“Kun pinapatawad nindo an mga nagkasala saindo, papatawadon man kamo kan saindong langitnon na Ama.","“Huwag kayong magtipon ng mga kayamanan para sa inyong sarili sa lupa, na dito ay naninira ang bukbok at ang kalawang at ang mga magnanakaw ay nakakapasok at nakakapagnakaw;"
"Alagad kun dai nindo pinapatawad an mga nagkasala saindo, dai man kamo papatawadon kan saindong langitnon na Ama.","kundi magtipon kayo para sa inyong sarili ng mga kayamanan sa langit, na doon ang bukbok at ang kalawang ay hindi makapaninira at ang mga magnanakaw ay hindi rin makakapasok ni makakapagnakaw."
"“Kun nag-aayuno kamo, dai kamo magpahiling nin mamondong lalawogon arog kan ginigibo kan mga parasagin-sagin. Nagpapahiling sindang garo gutom tanganing maaraman kan mga tawo na nag-aayuno sinda. Sa katotoohan sinasabihan ko kamo, inako na ninda an balos!","Sapagkat kung nasaan ang iyong kayamanan, naroon din naman ang iyong puso."
"Alagad kun nag-aayuno ka, manlabar ka asin manukray,","“Ang mata ang ilawan ng katawan: Kung tapat ang iyong mata, ang buong katawan mo'y mapupuno ng liwanag."
"tanganing dai maaraman kan mga tawo na nag-aayuno ka. An saimong Ama na dai nahihiling, iyo sana an makakaaram. Siya na nakakahiling sa hilom, an mabalos saimo.","Ngunit kung masama ang iyong mata, ang iyong buong katawan ay magiging kadiliman. Kaya't kung ang liwanag na nasa iyo ay kadiliman, anong laki ng kadiliman!"
"“Dai kamo magtipon nin kayamanan para saindo digdi sa daga, saen igwa nin bokbok asin takla na nangraraot, saka igwa nin mga parahabon.","“Walang makapaglilingkod sa dalawang panginoon, sapagkat kapopootan niya ang isa at iibigin ang ikalawa; o magiging tapat siya sa isa, at hahamakin ang ikalawa. Hindi kayo makapaglilingkod sa Diyos at sa kayamanan."
"Kundi, magtipon kamo nin kayamanan sa langit, saen mayo nin bokbok, takla o parahabon.","“Kaya nga sinasabi ko sa inyo, huwag kayong mabalisa sa inyong buhay, kung ano ang inyong kakainin, o kung ano ang inyong iinumin; kahit sa inyong katawan, kung ano ang inyong isusuot. Hindi ba higit ang buhay kaysa pagkain, at ang katawan kaysa damit?"
"Huli ta kun haen an saindong kayamanan, yaon man an saindong puso.","Tingnan ninyo ang mga ibon sa himpapawid: hindi sila naghahasik, o gumagapas, o nag-iimbak man sa mga kamalig, ngunit pinapakain sila ng inyong Ama na nasa langit. Hindi ba higit na mahalaga kayo kaysa kanila?"
"“An mata iyo an ilaw kan hawak. Kaya kun malinaw an saindong mga mata, an bilog nindong hawak mapapano nin kaliwanagan.",Sino sa inyo na dahil sa pagkabalisa ay mapapahaba ang kanyang buhay?
