ceb	en
hinuon wala ako magtinguha sa akong kaugalingong kadungganan. anaay usa nga nagtinguha niini ug siya mao ang maghuhukom.	i am not seeking glory for myself; but there is one who seeks it, and he is the judge.
sa pagkatinuod gayod, sultihan ko kamo nga si bisan kinsa nga magtuman sa akong pulong, siya dili gayod makakita sa kamatayon.”	very truly i tell you, whoever obeys my word will never see death.”
ang inyong amahan nga si Abraham nalipay nga makakita sa adlaw sa akong paganhi ug siya nakakita niini ug nagmaya.”	your father Abraham rejoiced at the thought of seeing my day; he saw it and was glad.”
unya ang mga judio miingon kaniya, “wala ka pa gani magpanuigon ug 50, nakakita ka na kang Abraham?”	“you are not yet fifty years old,” they said to him, “and you have seen Abraham!”
si Jesus miingon kanila, “sa pagkatinuod gayod, magingon ako kaninyo, nga sa wala pa si Abraham, mao na ako.”	“very truly i tell you,” Jesus answered, “before Abraham was born, i am!”
tungod niini namunit sila ug mga bato aron ilabay kaniya apan si Jesus mitago ug migula sa templo.	at this, they picked up stones to stone him, but Jesus hid himself, slipping away from the temple grounds.
unya sa pagagi ni Jesus, iyang nakita ang usa ka tawo nga buta sukad pa sa pagkahimugso.	as he went along, he saw a man blind from birth.
samtang ania ako sa kalibotan, ako mao ang kahayag alang sa kalibotan.”	while i am in the world, i am the light of the world.”
ug sila miingon kaniya, “giunsa man sa pagkabuka ang imong mga mata?”	“how then were your eyes opened?” they asked.
ug sila miingon kaniya, “hain na man siya?” siya miingon, “wala ako masayod.”	“where is this man?” they asked him. “i dont know,” he said.
gidala nila ngadto sa mga pariseo ang tawo nga kaniadto buta.	they brought to the Pharisees the man who had been blind.
ug adlaw kadto nga igpapahulay sa dihang si Jesus nagmasa ug lapok ug mipabuka sa mata sa buta.	now the day on which Jesus had made the mud and opened the mans eyes was a sabbath.
ang iyang mga ginikanan mitubag ug miingon, “kami nahibalo nga kini siya mao ang among anak ug nga siya nahimugso nga buta.	“we know he is our son,” the parents answered, “and we know he was born blind.
tungod niini ang iyang mga ginikanan miingon, “siya dako na, pangutana lang siya ninyo.”	that was why his parents said, “he is of age; ask him.”
ug sila miingon kaniya, “unsa may iyang gibuhat kanimo? giunsa man niya pagpabuka ang imong mga mata?”	then they asked him, “what did he do to you? how did he open your eyes?”
ug gipakaulawan nila siya ug giingnan, “ikaw tinunan niya apan kami mga tinunan ni Moises.	then they hurled insults at him and said, “you are this fellows disciple! we are disciples of Moses!
kami nasayod nga ang Dios nakigsulti kang Moises, apan bahin niining tawhana, wala kami mahibalo kon diin kini siya gikan.”	we know that God spoke to Moses, but as for this fellow, we dont even know where he comes from.”
kon kadtong tawhana dili pa gikan sa Dios, wala unta siyay mahimo.”	if this man were not from God, he could do nothing.”
siya mitubag nga nagingon, “kinsa man siya, Ginoo, aron ako motuo kaniya?”	“who is he, sir?” the man asked. “tell me so that i may believe in him.”
si Jesus miingon kaniya, “nakakita na ikaw kaniya ug siya mao ang nakigsulti kanimo.”	Jesus said, “you have now seen him; in fact, he is the one speaking with you.”
siya miingon, “Ginoo, mituo ako,” ug siya misimba kang Jesus.	then the man said, “Lord, i believe,” and he worshiped him.
apan ang mosulod agi sa pultahan mao ang magbalantay sa karnero.	the one who enters by the gate is the shepherd of the sheep.
apan sa lain sila dili mosunod, hinuon mobiya sila gikan kaniya kay sila wala man makaila sa tingog sa lain.”	but they will never follow a stranger; in fact, they will run away from him because they do not recognize a strangers voice.”
kini gipasumbingay ni Jesus kanila apan wala sila makasabot sa iyang gisulti kanila.	Jesus used this figure of speech, but the Pharisees did not understand what he was telling them.
busa si Jesus miingon pagusab kanila, “sa pagkatinuod gayod, sultihan ko kamo nga ako mao ang pultahan sa mga karnero.	therefore Jesus said again, “very truly i tell you, i am the gate for the sheep.
ang tanan nga mianhi una kanako, mga kawatan ug mga tulisan apan ang mga karnero wala mamati kanila.	all who have come before me are thieves and robbers, but the sheep have not listened to them.
ako mao ang pultahan, kon adunay mosulod agi kanako, siya maluwas ug siya mosulod ug mogula ug makakaplag siya ug masibsib.	i am the gate; whoever enters through me will be saved. they will come in and go out, and find pasture.
siya molayas kay siya sinuholan man lamang ug walay bili kaniya ang mga karnero.	the man runs away because he is a hired hand and cares nothing for the sheep.
tungod niini gihigugma ako sa amahan kay ako nagtahan man sa akong kinabuhi aron kini makuha nako pagusab.	the reason my father loves me is that i lay down my lifeonly to take it up again.
ug nahitabo na usab ang panagsumpaki sa mga judio tungod niining mga pulonga.	the Jews who heard these words were again divided.
kasaulogan kadto sa paghalad didto sa Jerusalem.	then came the festival of dedication at Jerusalem. it was winter,
tingtugnaw kadto ug si Jesus naglakaw sulod sa templo didto sa portiko ni Solomon.	and Jesus was in the temple courts walking in solomons colonnade.
apan kamo wala motuo tungod kay kamo dili man akong mga karnero.	but you do not believe because you are not my sheep.
ang akong mga karnero mamati sa akong tingog ug ako nakaila kanila ug sila nagsunod kanako.	my sheep listen to my voice; i know them, and they follow me.
ako ug ang amahan usa ra.”	i and the father are one.”
unya ang mga judio namunit pagusab ug mga bato aron batoon nila siya.	again his jewish opponents picked up stones to stone him,
mitubag si Jesus kanila, “dili ba nasulat man kini sa inyong balaod, ‘ako nagingon, mga Dios kamo’?	Jesus answered them, “is it not written in your law, ‘i have said you are “gods” ’’ ??
kon ako wala magbuhat sa buluhaton sa akong amahan, ayaw kamo pagtuo kanako;	do not believe me unless i do the works of my father.
ug siya ila na usab nga gisulayan sa pagdakop, apan siya miikyas gikan sa ilang mga kamot.	again they tried to seize him, but he escaped their grasp.
ug daghan ang mituo kang Jesus didto.	and in that place many believed in Jesus.
ug dihay masakiton nga usa ka tawo, si Lazaro nga tagabetania, sa balangay ni Maria ug sa iyang igsoon nga si Marta.	now a man named Lazarus was sick. he was from Bethany, the village of Mary and her sister Martha.
busa si Jesus gipasugoan sa magsoong babaye nga nagingon, “Ginoo, ang imong suod nga higala nasakit.”	so the sisters sent word to Jesus, “Lord, the one you love is sick.”
gihigugma ni Jesus si Marta ug ang iyang igsoong babaye ug si Lazaro.	now Jesus loved Martha and her sister and Lazarus.
busa sa iyang pagkadungog nga nasakit si Lazaro, mipabilin siya ug duha ka adlaw sa dapit diin didto siya.	so when he heard that Lazarus was sick, he stayed where he was two more days,
human niini siya miingon sa iyang mga tinunan, “mangadto kita pagusab sa Judea.”	and then he said to his disciples, “let us go back to Judea.”
apan si bisan kinsa nga maglakaw panahon sa gabii mapandol kay ang kahayag wala man diha kaniya.”	it is when a person walks at night that they stumble, for they have no light.”
ug ang mga tinunan miingon kaniya, “Ginoo, kon siya nakatulog, mamaayo ra siya.”	his disciples replied, “Lord, if he sleeps, he will get better.”
busa si Jesus misulti kanila sa walay lipodlipod, “si Lazaro namatay.	so then he told them plainly, “Lazarus is dead,
ug tungod kaninyo ako nalipay nga wala ako didto aron motuo kamo. apan mangadto kita kaniya.”	and for your sake i am glad i was not there, so that you may believe. but let us go to him.”
unya sa pagabot ni Jesus, iyang nasuta nga si Lazaro upat na ka adlaw didto sa lubnganan.	on his arrival, Jesus found that Lazarus had already been in the tomb for four days.
ang betania duol sa Jerusalem, mga tulo ka kilometro ang gilayon,	now Bethany was less than two miles from Jerusalem,
busa daghan sa mga judio ang nangadto kang Marta ug Maria aron sa paghupay kanila tungod sa ilang igsoon.	and many Jews had come to Martha and Mary to comfort them in the loss of their brother.
ug si Marta miingon kang Jesus, “Ginoo, kon dinhi pa ikaw, dili unta mamatay ang akong igsoon.	“Lord,” Martha said to Jesus, “if you had been here, my brother would not have died.
hinuon nahibalo ako nga bisan karon ang tanan nga imong pangayoon sa Dios, kini ihatag kanimo sa Dios.”	but i know that even now God will give you whatever you ask.”
si Jesus miingon kaniya, “ang imong igsoon mabanhaw.”	Jesus said to her, “your brother will rise again.”
ug si Marta mitubag kaniya, “nahibalo ako nga siya mabanhaw sa pagpamanhaw unya sa kaulahian nga adlaw.”	Martha answered, “i know he will rise again in the resurrection at the last day.”
ug ang tanan nga buhi ug nagtuo kanako dili na gayod mamatay. motuo ba ikaw niini?”	and whoever lives by believing in me will never die. do you believe this?”
ug siya miingon, “hain ba ninyo siya gibutang?” sila miingon kaniya, “Ginoo, aria ug tanawa.”	“where have you laid him?” he asked. “come and see, Lord,” they replied.
si Jesus mihilak.	Jesus wept.
busa ang mga judio nagingon, “tanawa, pagkadako gayod sa iyang paghigugma kaniya!”	then the Jews said, “see how he loved him!”
unya si Jesus, nga natandog pagusab, miduol sa lubong. kini usa ka langob nga gialihan ug usa ka bato.	Jesus, once more deeply moved, came to the tomb. it was a cave with a stone laid across the entrance.
si Jesus mitubag kaniya, “wala ba ako magingon kanimo nga kon motuo ikaw makita nimo ang himaya sa Dios?”	then Jesus said, “did i not tell you that if you believe, you will see the glory of God?”
ug sa nakasulti na siya niini, siya misinggit sa kusog nga tingog nga nagingon, “Lazaro, gula ngari!”	when he had said this, Jesus called in a loud voice, “Lazarus, come out!”
tungod niini daghan sa mga judio nga miduaw kang Maria ug nakakita sa gibuhat ni Jesus, mituo kaniya.	therefore many of the Jews who had come to visit Mary, and had seen what Jesus did, believed in him.
apan ang pipila kanila miadto sa mga pariseo ug ilang gisuginlan sila sa gibuhat ni Jesus.	but some of them went to the Pharisees and told them what Jesus had done.
apan usa kanila, si caifas, nga mao ang labawng pangulong pari niadtong tuiga, miingon kanila, “kamo mga walay alamag.	then one of them, named Caiaphas, who was high priest that year, spoke up, “you know nothing at all!
ug dili alang sa nasod lamang, kondili sa pagtigom usab aron magkahiusa ang nagkatibulaag nga mga anak sa Dios.	and not only for that nation but also for the scattered children of God, to bring them together and make them one.
busa sukad niadtong adlawa nagsabot sila sa pagpatay kaniya.	so from that day on they plotted to take his life.
apan si Judas iscariote nga usa sa iyang mga tinunan, nga mao ang magbudhi kaniya, miingon,	but one of his disciples, Judas iscariot, who was later to betray him, objected,
“ngano nga kining pahumot wala man hinuon ibaligya ug tulo ka gatos ka denario ug ang halin ihatag sa mga kabos?”	“why wasnt this perfume sold and the money given to the poor? it was worth a years wages. ””
ang mga kabos kanunay nga anaa kaninyo apan ako dili kanunay nga anaa kaninyo.”	you will always have the poor among you, but you will not always have me.”
busa ang mga pangulong pari nagsabot sa pagpatay usab kang Lazaro	so the chief priests made plans to kill Lazarus as well,
kay tungod kaniya daghan sa mga judio ang mipalayo kanila ug mituo kang Jesus.	for on account of him many of the Jews were going over to Jesus and believing in him.
ug si Jesus nakakaplag ug usa ka nating asno ug siya mikabayo niini, sumala sa nasulat,	Jesus found a young donkey and sat on it, as it is written:
“ayaw kahadlok, babaye nga anak sa Zion; tanawa, mianhi ang imong hari, nga nagkabayo sa nati sa asno!”	“do not be afraid, daughter Zion; see, your king is coming, seated on a donkeys colt.”
tungod niini ang panon sa katawhan miadto sa pagsugat kaniya kay nakadungog man sila nga nakahimo siya sa maong ilhanan.	many people, because they had heard that he had performed this sign, went out to meet him.
unya dihay pipila ka grego sa mga nanungas aron sa pagsimba didto sa kasaulogan.	now there were some Greeks among those who went up to worship at the festival.
si felipe miadto ug iyang gisuginlan si andres, ug si andres miadto uban kang felipe ug ilang gisuginlan si Jesus.	Philip went to tell Andrew; Andrew and Philip in turn told Jesus.
ug si Jesus mitubag kanila, “ang takna miabot na nga himayaon na ang anak sa tawo.	Jesus replied, “the hour has come for the son of man to be glorified.
ug si Jesus mitubag, “kining tingoga miabot tungod kaninyo, dili tungod kanako.	Jesus said, “this voice was for your benefit, not mine.
karon mao na ang paghukom niining kalibotana, karon palagpoton na ang pangulo niining kalibotana.	now is the time for judgment on this world; now the prince of this world will be driven out.
ug ako, sa maisa na gikan sa yuta, magkabig sa tanang tawo ngari kanako.”	and i, when i am lifted up from the earth, will draw all people to myself.”
kini gisulti niya aron sa pagpadayag sa paagi sa kamatayon nga iyang kamatyan.	he said this to show the kind of death he was going to die.
bisan tuod ug daghan ang mga milagro nga iyang nahimo sa ilang atubangan, wala sila motuo kaniya	even after Jesus had performed so many signs in their presence, they still would not believe in him.
busa wala sila makatuo, kay si isaias misulti pagusab,	for this reason they could not believe, because, as Isaiah says elsewhere:
kini gisulti ni isaias tungod kay nakita man niya ang himaya ni Jesus ug misulti siya mahitungod kaniya.	Isaiah said this because he saw Jesus’ glory and spoke about him.
kay labaw nilang gihigugma ang pagdayeg gikan sa mga tawo kay sa pagdayeg gikan sa Dios.	for they loved human praise more than praise from God.
ug siya nga nakakita kanako nakakita kaniya nga nagpadala kanako.	the one who looks at me is seeing the one who sent me.
ako mianhi sa kalibotan ingon nga kahayag aron ang tanan nga motuo kanako dili na magpabilin sa kangitngit.	i have come into the world as a light, so that no one who believes in me should stay in darkness.
ug miduol siya kang Simon Pedro, ug si Pedro miingon kaniya, “Ginoo, hugasan ba nimo ang akong mga tiil?”	he came to Simon Peter, who said to him, “Lord, are you going to wash my feet?”
si Jesus mitubag kaniya, “ang akong gibuhat dili pa nimo masabtan karon, apan makasabot ra unya ikaw niini.”	Jesus replied, “you do not realize now what i am doing, but later you will understand.”
kay siya nasayod man kinsa ang magbudhi kaniya. tungod niini miingon siya, “dili kamong tanan hinlo.”	for he knew who was going to betray him, and that was why he said not every one was clean.
nagtawag kamo kanako nga magtutudlo ug Ginoo ug husto kamo kay mao man kana ako.	“you call me ‘teacher’ and ‘Lord,’ and rightly so, for that is what i am.
kay usa ka panigingnan ang akong gihatag kaninyo, aron kamo kinahanglang magbuhat usab sama sa akong gibuhat kaninyo.	i have set you an example that you should do as i have done for you.
kon kamo nahibalo niining mga butanga, bulahan kamo kon kini inyong buhaton.	now that you know these things, you will be blessed if you do them.
gipahibalo nako kini kaninyo karon, sa dili pa kini mahitabo aron nga inigkahitabo na niini motuo kamo nga ako mao siya.	“i am telling you now before it happens, so that when it does happen you will believe that i am who i am.
ug ang mga tinunan nagtinanaway sa usa ug usa nga naglibog kon kinsay iyang gipasabot niini.	his disciples stared at one another, at a loss to know which of them he meant.
usa sa iyang mga tinunan, nga pinalangga ni Jesus, nagsandig sa dughan ni Jesus.	one of them, the disciple whom Jesus loved, was reclining next to him.
ug si Simon Pedro misinyas kaniya ug miingon, “tugani kami kinsay iyang gipasabot.”	Simon Peter motioned to this disciple and said, “ask him which one he means.”
busa samtang misandig siya sa dughan ni Jesus, siya nangutana kaniya, “Ginoo, kinsa man?”	leaning back against Jesus, he asked him, “Lord, who is it?”
walay bisan usa sa mga nanambong sa kananan nga nahibalo nganong iya kining gisulti kaniya.	but no one at the meal understood why Jesus said this to him.
busa sa pagkadawat ni Judas sa pan, siya migula dayon, ug gabii kadto.	as soon as Judas had taken the bread, he went out. and it was night.
tungod niini ang tanang tawo mahibalo nga kamo akong mga tinunan kon kamo maghigugmaay sa usa ug usa.”	by this everyone will know that you are my disciples, if you love one another.”
si Pedro miingon kaniya, “Ginoo, nganong dili man ako makasunod kanimo karon? itahan nako ang akong kinabuhi alang kanimo.”	Peter asked, “Lord, why cant i follow you now? i will lay down my life for you.”
“ayaw kamo kaguol diha sa inyong kasingkasing. salig kamo sa Dios ug salig usab kamo kanako.	“do not let your hearts be troubled. you believe in God ;; believe also in me.
ug kamo nahibalo na sa dalan nga akong adtoan.”	you know the way to the place where i am going.”
si tomas miingon kaniya, “Ginoo, wala kami mahibalo kon asa ikaw moadto busa unsaon man namo sa pagkahibalo sa dalan?”	Thomas said to him, “Lord, we dont know where you are going, so how can we know the way?”
unya si felipe miingon kaniya, “Ginoo, ipakita kanamo ang amahan ug igo na kana kanamo.”	Philip said, “Lord, show us the father and that will be enough for us.”
ug bisan unsay inyong pangayoon pinaagi sa akong ngalan, buhaton nako kini aron ang amahan mapasidunggan diha sa anak.	and i will do whatever you ask in my name, so that the father may be glorified in the son.
kon mangayo kamo ug bisan unsa pinaagi sa akong ngalan, kini akong buhaton.	you may ask me for anything in my name, and i will do it.
“kon nahigugma kamo kanako, tumanon ninyo ang akong mga sugo.	“if you love me, keep my commands.
“dili ko kamo biyaan nga daw mga ilo nga tuwapos. ako moanha kaninyo.	i will not leave you as orphans; i will come to you.
niana unyang adlawa inyong mahibaloan nga ako anaa sa akong amahan ug kamo ania kanako ug ako anaa kaninyo.	on that day you will realize that i am in my father, and you are in me, and i am in you.
“kining mga butanga gisulti nako kaninyo samtang ania pa ako uban kaninyo.	“all this i have spoken while still with you.
ug karon gisultihan kamo nako sa dili pa kini mahitabo, aron nga kon kini mahitabo na, manuo kamo.	i have told you now before it happens, so that when it does happen you will believe.
dili na ako magdaghan pa ug sulti kaninyo, kay moabot na ang pangulo niining kalibotana. wala siyay gahom ibabaw kanako;	i will not say much more to you, for the prince of this world is coming. he has no hold over me,
“ako mao ang matuod nga punoan sa paras ug ang akong amahan mao ang tigatiman.	“i am the true vine, and my father is the gardener.
kamo nangahinlo na tungod sa pulong nga akong gisulti kaninyo.	you are already clean because of the word i have spoken to you.
pinaagi niini, ang akong amahan napasidunggan, nga namunga kamo ug daghan, ug nahimo nga akong mga tinunan.	this is to my fathers glory, that you bear much fruit, showing yourselves to be my disciples.
sama nga nahigugma kanako ang amahan, ako usab nahigugma kaninyo busa pabilin kamo diha sa akong gugma.	“as the father has loved me, so have i loved you. now remain in my love.
kining mga butanga akong gisulti kaninyo aron ang akong kalipay magpabilin diha kaninyo ug ang inyong kalipay mahingpit.	i have told you this so that my joy may be in you and that your joy may be complete.
“mao kini ang akong sugo, nga kinahanglang maghigugmaay kamo sa usa ug usa sama nga ako nahigugma kaninyo.	my command is this: love each other as i have loved you.
kamo akong mga higala kon magtuman kamo sa akong sugo kaninyo.	you are my friends if you do what i command.
ang akong sugo kaninyo mao kini, nga kinahanglang maghigugmaay kamo sa usa ug usa.	this is my command: love each other.
“kon ang kalibotan nagdumot kaninyo, hibaloi nga una akong gidumtan kay kaninyo.	“if the world hates you, keep in mind that it hated me first.
ang nagdumot kanako, nagdumot usab sa akong amahan.	whoever hates me hates my father as well.
kini aron matuman ang pulong nga nasulat sa ilang balaod, ‘nagdumot sila kanako sa walay hinungdan.’	but this is to fulfill what is written in their law: ‘they hated me without reason.’
ug kamo usab magpamatuod kay kamo uban man kanako sukad sa sinugdan.	and you also must testify, for you have been with me from the beginning.
“gisulti na nako kining tanan kaninyo aron dili kamo mahimulag gikan sa pagtuo.	“all this i have told you so that you will not fall away.
ug kini ilang buhaton tungod kay wala man sila makaila sa amahan o kanako.	they will do such things because they have not known the father or me.
apan karon moadto na ako sa nagpadala kanako apan wala kaninyoy nangutana kanako, ‘asa man ikaw paingon?’	but now i am going to him who sent me. none of you asks me, ‘where are you going?’
apan kay nagsulti man ako kaninyo niining mga butanga, ang inyong mga kasingkasing napuno sa kasubo.	rather, you are filled with grief because i have said these things.
mahitungod sa sala, kay sila wala man motuo kanako,	about sin, because people do not believe in me;
mahitungod sa pagkamatarong, kay ako moadto man sa amahan ug dili na kamo makakita kanako,	about righteousness, because i am going to the father, where you can see me no longer;
ug mahitungod sa hukom, kay ang pangulo niining kalibotana gihukman na.	and about judgment, because the prince of this world now stands condemned.
“daghan pa unta akog isulti kaninyo apan dili pa kamo makasugakod niini karon.	“i have much more to say to you, more than you can now bear.
siya magpasidungog kanako, kay siya modawat man sa mga butang nga gikan kanako ug magsugilon niini kaninyo.	he will glorify me because it is from me that he will receive what he will make known to you.
“sulod sa mubong panahon, dili na kamo makakita kanako, ug sa mubong panahon na usab, makakita kamo kanako.”	Jesus went on to say, “in a little while you will see me no more, and then after a little while you will see me.”
busa sila miingon, “unsa man kaha kining iyang gisulti nga ‘mubong panahon’? wala kita makasabot unsay iyang gisulti.”	they kept asking, “what does he mean by ‘a little while’ ?? we dont understand what he is saying.”
ako gikan sa amahan ug ako mianhi sa kalibotan, ug usab, mobiya ako sa kalibotan ug moadto sa amahan.”	i came from the father and entered the world; now i am leaving the world and going back to the father.”
ang iyang mga tinunan miingon, “ah, karon nagsulti na ikaw sa dayag gayod ug dili na pinaagi ug sambingay!	then Jesus’ disciples said, “now you are speaking clearly and without figures of speech.
si Jesus mitubag kanila, “karon nagtuo na ba diay kamo?	“do you now believe?” Jesus replied.
ako nagpasidungog kanimo dinhi sa yuta, ingon nga natapos nako ang buhat nga imong gitugyan kanako nga akong buhaton.	i have brought you glory on earth by finishing the work you gave me to do.
karon nahibalo sila nga ang tanan nga imong gihatag kanako gikan kanimo,	now they know that everything you have given me comes from you.
ang tanan nga akoa imo ug ang imo akoa, ug diha kanila ako nahimaya.	all i have is yours, and all you have is mine. and glory has come to me through them.
dili ako mangamuyo nga kuhaon nimo sila gikan sa kalibotan, kondili nga imo unta silang ilikay gikan sa daotan.	my prayer is not that you take them out of the world but that you protect them from the evil one.
sila dili iya sa kalibotan ingon nga ako dili iya sa kalibotan.	they are not of the world, even as i am not of it.
balaana sila diha sa kamatuoran. ang imong pulong mao ang kamatuoran.	sanctify them by the truth; your word is truth.
ingon nga ikaw nagpadala kanako nganhi sa kalibotan, ako usab nagpadala kanila nganhi sa kalibotan.	as you sent me into the world, i have sent them into the world.
ug tungod kanila ako nagbalaan sa akong kaugalingon aron sila usab mahimong balaan diha sa kamatuoran.	for them i sanctify myself, that they too may be truly sanctified.
ang himaya nga imong gihatag kanako akong gihatag ngadto kanila aron sila mausa, ingon nga kita usa;	i have given them the glory that you gave me, that they may be one as we are one—
sa pagingon ni Jesus kanila, “ako mao siya,” sila nanibog ug nangatumba sa yuta.	when Jesus said, “i am he,” they drew back and fell to the ground.
nangutana siya pagusab kanila, “kinsa bay inyong gipangita?” ug sila mitubag, “si Jesus nga taganazaret.”	again he asked them, “who is it you want?” “Jesus of Nazareth,” they said.
kini aron matuman ang pulong nga iyang gisulti, “sa mga gitugyan kanako, wala ako kawadi bisan ug usa.”	this happened so that the words he had spoken would be fulfilled: “i have not lost one of those you gave me.”
unya si Jesus gidakop sa panon sa mga sundalo ug sa ilang kapitan ug sa mga tinugyanan sa mga judio ug gigapos nila siya.	then the detachment of soldiers with its commander and the jewish officials arrested Jesus. they bound him
ug ila unang gidala siya ngadto kang anas kay kini siya mao man ang ugangan ni caifas nga mao ang labawng pari niadtong tuiga.	and brought him first to Annas, who was the fatherinlaw of Caiaphas, the high priest that year.
si caifas mao ang mihatag ug tambag ngadto sa mga judio nga maayo nga usa lamang ka tawo ang mamatay alang sa katawhan.	Caiaphas was the one who had advised the jewish leaders that it would be good if one man died for the people.
unya ang labawng pangulong pari nangutana mahitungod sa iyang mga tinunan ug sa iyang pagtulunan.	meanwhile, the high priest questioned Jesus about his disciples and his teaching.
busa si anas mipadala kaniya nga ginapos ngadto kang caifas, ang labawng pangulong pari.	then Annas sent him bound to Caiaphas the high priest.
gilimod na usab kini ni Pedro ug dihadiha mituktugaok ang manok.	again Peter denied it, and at that moment a rooster began to crow.
busa si pilato migula ngadto kanila ug miingon, “unsa ba ang sumbong nga inyong ipasaka batok niining tawhana?”	so Pilate came out to them and asked, “what charges are you bringing against this man?”
sila mitubag ug miingon kaniya, “kon kining tawhana dili pa tigbuhat ug daotan, wala unta namo siya itugyan kanimo.”	“if he were not a criminal,” they replied, “we would not have handed him over to you.”
kini aron matuman ang pulong nga gisulti ni Jesus nga nagpasabot sa paagi sa kamatayon nga iyang kamatyan.	this took place to fulfill what Jesus had said about the kind of death he was going to die.
busa si pilato misulod pagusab sa palasyo ug iyang gitawag si Jesus ug giingnan siya, “ikaw ba ang hari sa mga judio?”	Pilate then went back inside the palace, summoned Jesus and asked him, “are you the king of the Jews?”
si Jesus mitubag kaniya, “nagsulti ba ikaw niini gikan sa imong kaugalingon o gisultihan ba ikaw sa uban mahitungod kanako?”	“is that your own idea,” Jesus asked, “or did others talk to you about me?”
ug sila naninggit pagusab nga miingon, “dili kanang tawhana, kondili si barabas!” apan kini si barabas usa ka tulisan.	they shouted back, “no, not him! give us Barabbas!” now Barabbas had taken part in an uprising.
busa gikuha ni pilato si Jesus ug iyang gipalatigo.	then Pilate took Jesus and had him flogged.
miduol sila kaniya ug miingon, “mabuhi ang hari sa mga judio!” ug unya gisagpa nila siya.	and went up to him again and again, saying, “hail, king of the Jews!” and they slapped him in the face.
sa pagkadungog ni pilato niining sultiha, misamot siya pagkahadlok.	when Pilate heard this, he was even more afraid,
ug siya misulod pagusab sa palasyo ug miingon kang Jesus, “taga diin ba ikaw?” apan si Jesus wala motubag kaniya.	and he went back inside the palace. “where do you come from?” he asked Jesus, but Jesus gave him no answer.
busa gitugyan niya si Jesus ngadto kanila aron ilansang sa krus.	finally Pilate handed him over to them to be crucified. so the soldiers took charge of Jesus.
si pilato mitubag, “ang akong nasulat, nasulat na.”	Pilate answered, “what i have written, i have written.”
sa nakainom na si Jesus sa suka, siya miingon, “natapos na.” ug giduko niya ang iyang ulo ug gitugyan ang iyang espiritu.	when he had received the drink, Jesus said, “it is finished.” with that, he bowed his head and gave up his spirit.
apan sa diha na sila kang Jesus, ug ilang nakita nga siya patay na, wala na lang nila balia ang iyang mga bitiis.	but when they came to Jesus and found that he was already dead, they did not break his legs.
apan usa sa mga sundalo miduslak ug bangkaw sa iyang kilid ug dihadiha mibuhagay ang dugo ug tubig.	instead, one of the soldiers pierced Jesus’ side with a spear, bringing a sudden flow of blood and water.
kay kining mga butanga nahitabo aron matuman ang kasulatan nga nagingon, “walay bukog niya nga mabali.”	these things happened so that the scripture would be fulfilled: “not one of his bones will be broken,”
ug usab ang laing bahin sa kasulatan nagingon, “sila magtanaw kaniya nga ilang giduslak.”	and, as another scripture says, “they will look on the one they have pierced.”
tungod kay adlaw man kadto sa pangandam sa mga judio, ug ang lubnganan duol ra man, ilang gipahiluna si Jesus didto.	because it was the jewish day of preparation and since the tomb was nearby, they laid Jesus there.
busa si Pedro migula uban sa maong tinunan ug nangadto sila sa lubnganan.	so Peter and the other disciple started for the tomb.
sa dihang miyuko siya aron sa paglili, iyang nakita ang mga panaptong lino nga nahimutang didto, apan wala siya mosulod.	he bent over and looked in at the strips of linen lying there but did not go in.
unya misulod usab ang kaubang tinunan, ang unang miabot sa lubnganan, ug nakakita siya ug mituo	finally the other disciple, who had reached the tomb first, also went inside. he saw and believed.
kay sila wala pa man makasabot sa kasulatan nga kinahanglang mabanhaw siya gikan sa mga patay.	(they still did not understand from scripture that Jesus had to rise from the dead.)
unya ang mga tinunan namauli sa ilang mga puluyanan.	then the disciples went back to where they were staying.
apan sa gawas sa lubnganan, si Maria nagtindog nga naghilak, ug samtang naghilak siya, miyuko siya ngadto sa lubnganan.	now Mary stood outside the tomb crying. as she wept, she bent over to look into the tomb
usa sa napulo ug duha nga mao si tomas nga ginganlan ug kaluha, wala mahiuban kanila sa pagtungha ni Jesus.	now Thomas (also known as didymus ),), one of the twelve, was not with the disciples when Jesus came.
ug si tomas miingon kaniya, “akong Ginoo ug akong Dios!”	Thomas said to him, “my Lord and my God!”
ug si Jesus miingon kaniya, “mituo ba ikaw tungod kay nakita nimo ako? bulahan kadtong wala makakita apan nagtuo.”	then Jesus told him, “because you have seen me, you have believed; blessed are those who have not seen and yet have believed.”
unya sa atubangan sa iyang mga tinunan gihimo ni Jesus ang daghan pang mga milagro nga wala masulat niining basahona,	Jesus performed many other signs in the presence of his disciples, which are not recorded in this book.
sa pagkakaadlawon na, si Jesus nagtindog didto sa baybayon apan ang mga tinunan wala makahibalo nga kadto mao si Jesus.	early in the morning, Jesus stood on the shore, but the disciples did not realize that it was Jesus.
ug si Jesus miingon kanila, “mga anak, wala pa ba kamo makakuha ug isda?” sila mitubag kaniya, “wala.”	he called out to them, “friends, havent you any fish?” “no,” they answered.
si Jesus miingon kanila, “pagdala kamo diri nianang mga isda nga inyong nakuha.”	Jesus said to them, “bring some of the fish you have just caught.”
si Jesus miduol ug nagkuha ug pan ug gihatag kini kanila ug ingon man ang isda.	Jesus came, took the bread and gave it to them, and did the same with the fish.
