war	tl
Gindara han surugoon an magburugto ngadto han balay. Iya gintagan hira hin tubig basi makagpanhimsaw hira, ngan gintubongan niya an ira mga asno.	Nang dalhin ng katiwala ang mga lalaki sa bahay ni Jose, at sila'y mabigyan ng tubig, at makapaghugas ng kanilang mga paa, at mabigyan ng pagkain ang kanilang mga asno,
Gin-andam nira an ira mga regalo nga ighahatag nira kan Jose kon umabot hiya dida han udto, kay ginsumatan man hira nga makikigsaro hiya ha iya.	ay inihanda nila ang regalo sa pagdating ni Jose sa tanghali, sapagkat kanilang narinig na doon sila magsisikain.
Han pag-abot la ni Jose ha balay, gindara nira an regalo ngadto ha iya, ngan nanhapa hira ha iya atubangan.	Nang dumating si Jose sa bahay, dinala nila sa kanya ang regalo na dinala nila sa loob ng bahay at sila'y nagpatirapa sa harapan niya.
Nangumosta hiya ha ira hiunong han ira panlawas ngan katapos nagsiring, “Kumosta man an iyo tatay nga iyo iginsumat ha akon? Buhi pa ba hiya ngan maupay ba an iya panlawas?”	Kanyang tinanong sila tungkol sa kanilang kalagayan, at sinabi, “Mayroon bang kapayapaan ang inyong ama, ang matanda na inyong sinabi? Buháy pa ba siya?”
Binmaton hira, “Buhi pa ngan maupay man gihapon an amon amay nga imo ubos nga surugoon.” Ngan nanluhod ngan nanyukbo hira ha iya atubangan.	Kanilang sinabi, “Mayroong kapayapaan sa iyong lingkod, sa aming ama, siya ay buháy pa.” Sila'y nagsiyuko at nagpatirapa.
Han paghikit-i la ni Jose kan Benjamin nga iya bugto, nagsiring hiya, “O, amo ngay-an ini an iyo gimamanghori nga bugto nga iginsumat niyo ha akon. Pagbendisyonan ka unta han Dyos, anak ko.”	Tumingin siya at nakita niya ang kanyang kapatid na si Benjamin, ang anak ng kanyang ina, at kanyang sinabi, “Ito ba ang inyong bunsong kapatid na inyong sinabi sa akin?” Kanyang sinabi, “Pagpalain ka nawa ng Diyos, anak ko.”
Niyan binmaya hi Jose hin kadagmitan kay tugob na gud an iya kasingkasing hin kalooy para han iya bugto. Nag-iitarangis na hiya, sanglit sinmulod hiya han iya kwarto ngan nagtangis.	Pagkatapos ay nagmadaling lumabas si Jose sapagkat nanaig ang kanyang pagmamahal sa kanyang kapatid. Humanap siya ng lugar na maiiyakan, pumasok sa loob ng silid, at umiyak doon.
Katapos niya maghiramos, ginmawas hiya nga ginpupugngan niya an iya kalugaringon ngan nagsugo hiya nga magdurot na han pagkaon.	Pagkatapos ay naghilamos siya, lumabas, nagpigil sa sarili, at nagsabi, “Maghain kayo ng pagkain.”
Gindurotan hi Jose dida hin usa nga lamesa ngan ha lain nga lamesa an iya kabugtoan. Gindurotan didto hin lain nga lamesa an mga Ehiptohanon nga nangangaon didto, kay ha ira paghunahuna makakapahiubos gud ha ira an pakigsaro han mga Hebreo.	Kanilang hinainan siya nang bukod, at sila naman ay bukod din, at ang mga Ehipcio na kumakaing kasama niya ay bukod, sapagkat ang mga Ehipcio ay hindi kumakaing kasalo ng mga Hebreo; sapagkat ito ay kasuklamsuklam sa mga Ehipcio.
Ginpalingkod an kabugtoan nga naatubang kan Jose hin sunodsunod sumala han ira panuigon, tikang han gimamagurangi ngadto han gimamanghori. Han paghikit-i nira han ira sunodsunod nga pangalingkod, naggipasirusiplat hira hin paghipausa.	Sila'y umupo sa harapan niya, ang panganay ayon sa kanyang pagkapanganay, at ang bunso ayon sa kanyang pagkabunso. At ang mga lalaki ay nagtinginan sa isa't isa na may pagkamangha.
Gindurotan hira hin pagkaon tikang didto han lamesa ni Jose, ngan gindurotan hi Benjamin hin lima ka pilo kadamo kay han igindurot han iba ha ira. Sanglit nangaon ngan nag-irignom hira upod kan Jose tubtob han pagkahuhubog nira.	Mula sa hapag ni Jose ay dinalhan sila ng mga pagkain, subalit ang pagkain ni Benjamin ay limang ulit na mas marami kaysa alinman sa kanila. Kaya't sila'y nag-inuman at nagkatuwaang kasama niya.
Ginsugo ni Jose an surugoon nga tinaporan han iya balay, “Pun-a hin trigo an mga sako han mga tawo tubtob han ira maaakos hin pagdara, ngan igsulod ha ganggang han iya sako an kwarta han kada tawo.	Iniutos niya sa katiwala ng kanyang bahay, “Punuin mo ng mga pagkain ang mga sako ng mga lalaking ito, hangga't madadala nila, at ilagay ang salapi ng bawat isa sa ibabaw ng kanyang sako.
Igsulod ha ganggang han sako han gimamanghori nga bugto an akon kupa nga salapi upod han kwarta nga palit han iya trigo.” Gintuman niya sumala han iginsugo ha iya.	Ilagay mo ang aking kopang pilak sa ibabaw ng sako ng bunso, at ang kanyang salapi para sa trigo.” Ginawa niya ang ayon sa sinabi ni Jose.
Timprano pa han pagkaaga, ginpalakat an magburugto dara an ira mga asno.	Nang nagliliwanag na ang umaga, isinugo na ang mga lalaki, kasama ang kanilang mga asno.
Han diri pa hira hirayo tikang han syudad, ginsiring ni Jose an iya surugoon nga tinaporan han iya balay, “Dali ngan lanata an mga tawo. Kon hiabotan mo hira pakianhi hira, ‘Kay ano nga ginbalos man niyo hin maraot an maupay?	Nang sila'y makalabas na sa bayan, at hindi pa sila nakakalayo, sinabi ni Jose sa katiwala ng kanyang bahay, “Bumangon ka, habulin mo ang mga lalaki, at kapag sila'y inabutan mo, ay sabihin mo sa kanila, ‘Bakit ginantihan ninyo ng kasamaan ang kabutihan? Bakit ninyo ninakaw ang aking kopang pilak?
Kay ano nga ginkawat niyo an kupa nga salapi han akon agaron? Amo ini an kupa nga iniimnan niya, an kupa nga ginagamit niya hin pagtagna han tiarabot nga panahon. Ginbuhat niyo in dako gud nga sala!’”	Hindi ba ito ang kopang iniinuman ng aking panginoon, at sa pamamagitan nito siya ay nanghuhula? Kayo'y gumawa ng masama sa paggawa ng ganyan.’”
Han paghiabti ha ira han surugoon, iginyakan niya ha ira ini ngahaw nga mga pulong.	Nang kanyang abutan sila, kanyang sinabi sa kanila ang mga salitang ito.
Ira ginbaton hiya, “Ano an karuyag mo sidngon, mano, hin pagyakan mo hin sugad hini? Nagsusumpa kami nga waray gud namon pagbuhata in sugad nga butang.	Kanilang sinabi sa kanya, “Bakit sinabi ng aking panginoon ang mga salitang ito? Malayong gagawa ang iyong mga lingkod ng ganyang bagay.
Maaram ka man nga iginbalik ngani namon ha imo tikang ha tuna han Canaan an kwarta nga amon hin-agian dida han ganggang han amon mga sako. Kay ano nga mangangawat kami hin salapi o bulawan tikang han balay han imo agaron?	Tingnan mo, ang salapi na aming natagpuan sa ibabaw ng aming mga sako ay aming isinauli sa iyo mula sa lupain ng Canaan. Paano naming mananakaw ang pilak at ginto sa bahay ng iyong panginoon?
Kon hiagian in usa ha amon nga may-ada hini nga kupa, kinahanglan pagpatayon hiya, ngan magigin mga oripon nimo kami ngatanan.”	Maging kanino man ito matagpuan sa iyong mga lingkod, siya ay mamatay, at pati kami ay magiging alipin ng aming panginoon.”
Nagsiring hiya, “Nauyon ako; kundi hiya la nga nakadara han kupa an magigin akon oripon, ngan mahigagawas-kamo ngatanan han kataragman.”	Kanyang sinabi, “Mangyari ayon sa inyong mga salita; maging kanino man ito matagpuan ay magiging aking alipin; at kayo'y pawawalang-sala.”
Sanglit ginhaw-as dayon nira ha tuna an ira mga sako, ngan ginbukas an sako han kada tawo.	Nang magkagayo'y nagmadali sila, ibinaba ng bawat isa ang kanyang sako sa lupa, at binuksan ng bawat isa ang kanyang sako.
Gin-usisa hin maupay han surugoon ni Jose tikang han gimamagurangi ngadto han gimamanghori, ngan hin-agian an kupa didto han sako ni Benjamin.	Kanyang sinaliksik, simula sa panganay hanggang sa bunso, at natagpuan ang kopa sa sako ni Benjamin.
Ginggisi han magburugto an ira mga panapton tungod hin kabidoan, iginkargahan han mga asno an ira mga sako, ngan binmalik hira ngadto han syudad.	Kaya't kanilang pinunit ang kanilang mga suot, at kinargahan ng bawat isa ang kanyang asno, at bumalik sa bayan.
Han pag-abot nira Juda ngan han iya kabugtoan ngadto han balay ni Jose, nakadto pa hiya. Nanyukbo hira ha atubangan niya,	Nang si Juda at ang kanyang mga kapatid ay dumating sa bahay ni Jose, siya'y nandoon pa, at sila'y nagpatirapa sa lupa sa harapan niya.
ngan nagsiring hi Jose, “Ano an iyo ginbuhat? Diri ba kamo maaram nga mahibabaroan an iyo ginbubuhat hin usa ka tawo nga sugad ha akon, pinaagi hin pagtag-na?”	Sinabi ni Jose sa kanila, “Ano itong ginawa ninyo? Hindi ba ninyo nalalaman na ang isang taong gaya ko ay makapanghuhula?”
“Ano man an amon igsisiring ha imo, ginoo?” binmaton hi Juda. “Uunanhon namon hin pakagdiwara? Uunanhon namon hin pakagpahayag nga waray kami kasal-anan? Ginpahayag han Dyos an amon sala. Yana mga oripon na nimo kami ngatanan, diri la hiya kan kanay hin-agian an kupa.”	Sinabi ni Juda, “Anong aming sasabihin sa aming panginoon? Anong aming sasalitain? O paanong kami ay makakapangatuwiran? Natagpuan ng Diyos ang kasamaan ng iyong mga lingkod. Narito, kami ay mga alipin ng aming panginoon, kami pati na ang kinatagpuan ng kopa.”
Nagsiring hi Jose, “Diri! Diri gud ako magbubuhat hito! Hiya la nga hin-agian ha iya an kupa an magigin akon oripon. Makakauli na an iba ha iyo ngadto han iyo amay; waray gud malalabot ha iyo.”	At kanyang sinabi, “Malayo nawa sa akin ang gumawa nito; ang taong kinatagpuan ng kopa ay siyang magiging aking alipin, at kayo ay umuwing may kapayapaan sa inyong ama.”
Dinmaop hi Juda kan Jose ngan nagsiring, “Ginoo, tugoti gad ako hin pakighimangraw ha imo. Ayaw intawon ako kasinahi; sugad ka han hadi ngahaw namon.	Nang magkagayo'y lumapit si Juda sa kanya, at sinabi, “O panginoon ko, pahintulutan mo ang iyong lingkod na magsalita sa pandinig ng aking panginoon, at huwag nawang magningas ang iyong galit laban sa iyong lingkod, sapagkat ikaw ay kagaya ng Faraon.
Ginpakianhan mo kami, ‘May-ada ba niyo amay, o lain nga bugto nga lalake?’	Tinanong ng aking panginoon ang kanyang mga lingkod, na sinasabi, ‘Kayo ba'y mayroong ama o kapatid?’
Binmaton kami, ‘May-ada pa kami amay nga lagas na ngan hin usa nga manghud nga lalake, nga anak niya dida han lagas na hiya. Patay na an bugto hini nga bata, ngan hiya na la an buhi pa nga anak han iroy niya: hinigugma hiya hin duro han amon amay.’	At aming sinabi sa aking panginoon, ‘Kami ay may ama, isang matanda, at isang anak sa kanyang katandaan, at ang kanyang kapatid ay patay na, at siya lamang ang naiwan ng kanyang ina, at minamahal siya ng kanyang ama.’
Ginsiring mo kami hin pagdara ha iya nganhi basi makakita ka ha iya,	Sinabi mo sa iyong mga lingkod, ‘Dalhin ninyo siya sa akin, upang makita ko siya.’
ngan binmaton kami nga diri makakabaya han iya amay an bata; kon buhaton niya ini mapatay an iya amay.	Aming sinabi sa aking panginoon, ‘Hindi maiiwan ng bata ang kanyang ama, at kung iiwan niya ang kanyang ama, ang kanyang ama ay mamamatay.’
Niyan nagsiring ka, ‘Diri kamo kakarawaton ha akon atubangan gawas kon umupod ha iyo an iyo gimamanghori nga bugto.’	At sinabi mo sa iyong mga lingkod, ‘Kapag ang bunso ninyong kapatid ay hindi bumabang kasama ninyo, hindi na ninyo ako makikitang muli.’
“Han pagbalik namon ngadto han amon amay, amon hiya ginsumatan han imo iginsiring.	Nang kami'y bumalik sa iyong lingkod na aking ama, aming sinabi sa kanya ang mga salita ng aking panginoon.
Niyan ginpabalik kami niya ngan ginpapalit hin pagkaon.	Nang sinabi ng aming ama, ‘Pumaroon kayong muli; bumili kayo ng kaunting pagkain para sa atin,’
Binmaton kami, ‘Diri kami makakakadto; diri kami kakarawaton han tawo gawas kon upod namon an amon gimamanghori nga bugto. Makadto la kami kon bunyog namon an amon gimamanghori nga bugto.’	ay aming sinabi, ‘Hindi kami makakababa. Kung ang aming bunsong kapatid ay kasama namin, ay bababa kami. Sapagkat hindi namin makikita ang mukha ng lalaking iyon, malibang ang aming bunsong kapatid ay kasama namin.’
Nagsiring ha amon an amon amay, ‘Maaram man kamo nga duha la nga mga anak nga lalake an igin-anak namon ngan hi Raquel nga akon asawa.	Sinabi ng iyong lingkod na aming ama sa amin, ‘Nalalaman ninyo na ang aking asawa ay nagkaanak sa akin ng dalawang lalaki;
Binayaan na ako han usa ha ira. Bangin ginpikaspikas hiya hin magpintas nga mga mananap, kay waray ko na man hiya hikit-i tikang hiya lumakat.	ang isa'y umalis sa akin, at aking sinabi, tiyak na siya'y nilapa; at hindi ko na siya nakita mula noon.
Kon kuhaon niyo ini nga usa tikang ha akon yana, ngan may-ada mahinabo ha iya makakamatay ha akon an kabidoan nga iyo bubuhaton ha akon kay lagas na ako.’”	Kung inyong kukunin pa ang isang ito sa akin, at may mangyaring sakuna sa kanya, ay inyong ibababa ang aking uban sa Sheol na may kapanglawan.’
30-31 “Ngan yana, ginoo,” nagpadayon hi Juda, “kon bumalik ako ngadto han akon amay nga waray an bata, ha pagkita gudla niya nga diri ko upod an bata, mapatay manta hiya. Mag-usa la an kinabuhi han bata ngan han iya kinabuhi. Makakapabido kami han amon amay ngan amo an makakamatay ha iya, kay lagas na hiya hin duro.	Kaya't ngayon, kung ako'y dumating sa iyong lingkod na aking ama, at ang bata ay hindi namin kasama, yamang ang kanyang buhay ay nakatali sa buhay ng batang iyan;
Labot pa hini iginsaad ko han akon amay an akon kinabuhi sugad nga garantiya han bata. Ginsiring ko hiya nga kon diri ko igbalik ha iya an bata, pag-aangkonon ko an sayop ha bug-os ko nga kinabuhi.	kapag kanyang nakitang ang bata ay di kasama, siya ay mamamatay at ibababa ng inyong mga lingkod ang mga uban ng iyong lingkod na aming ama sa Sheol na may kapanglawan.
Ngan yana, ginoo, magpapabilin ako dinhe sugad nga imo oripon saliwan han bata; pabalika hiya upod han iya kabugtoan.	Sapagkat ang iyong lingkod ang siyang naging panagot sa bata sa aking ama, na nagsasabi, ‘Kapag hindi ko siya dinala sa iyo, papasanin ko ang sisi ng aking ama magpakailanman.’
Uunanhon ko hin pakabalik ngadto han akon amay kon diri ko upod an bata? Diri ako mailob hin pagkita hini nga karat-an nga maabot han akon tatay.”	Kaya't ngayon, hinihiling ko na ipahintulot mo na ang iyong lingkod ang maiwan bilang isang alipin sa aking panginoon sa halip na ang bata at iyong ipahintulot na ang bata ay umahong kasama ng kanyang mga kapatid.
Waray na pakakapugong hi Jose han iya mga pagbati ha atubangan han iya mga surugoon, sanglit iya ginsugo hira ngatanan hin pagbaya han kwarto. Waray na iba nga kaupod niya han pagpakilala ni Jose ngadto han iya kabugtoan.	Kaya't hindi nakapagpigil si Jose sa harapan ng mga nakatayo sa tabi niya, at siya ay sumigaw, “Paalisin ninyo ang lahat ng tao sa aking harapan.” Kaya't walang taong nakatayo sa harapan niya nang si Jose ay magpakilala sa kanyang mga kapatid.
Nagtangis hiya upod in makusog nga mga pagbakho nga hinbatian hiya han mga Ehiptohanon, ngan gindara an sumat ngadto han palasyo han hadi.	Siya'y umiyak nang malakas, at ito ay narinig ng mga Ehipcio at ng sambahayan ng Faraon.
Nagsiring hi Jose ngadto han iya kabugtoan, “Amo ako hi Jose. Buhi pa ba an akon amay?” Kundi han pakabati hini han iya kabugtoan, nahadlok hira hin duro nga waray hira pakabaton.	Sinabi ni Jose sa kanyang mga kapatid, “Ako'y si Jose. Buháy pa ba ang aking ama?” Ang kanyang mga kapatid ay hindi makasagot sa kanya, sapagkat sila'y nanginig sa kanyang harapan.
Niyan nagsiring ha ira hi Jose, “Alayon duok kamo ngadi.” Dinmuok hira ngan nagsiring hiya, “Amo ako hi Jose nga iyo bugto nga iginbaligya niyo nganhi ha Ehipto.	Kaya't sinabi ni Jose sa kanyang mga kapatid, “Lumapit kayo sa akin.” At sila'y lumapit, at kanyang sinabi, “Ako'y si Jose na inyong kapatid, na inyong ipinagbili upang dalhin sa Ehipto.
Yana ayaw kamo kabaraka o pagbasol ha iyo ngahaw tungod nga iginbaligya ako niyo nganhi. An Dyos amo gud an nagpadara ha akon hin pag-una ha iyo nganhi hin pagtalwas han mga kinabuhi hin mga tawo.	Ngayon huwag kayong magdalamhati o magalit sa inyong mga sarili sapagkat ako'y ipinagbili ninyo rito; sapagkat sinugo ako ng Diyos na una sa inyo upang magligtas ng buhay.
Ikaduha pala ka tuig ini nga gutom dinhe ha tuna; may-ada lilima pa ka tuig nga mawawaray pag-arado o pag-ani.	Sapagkat ang taggutom ay dalawang taon na sa lupain; at limang taon pang hindi magkakaroon ng pagbubukid o pag-aani man.
Ginpauna ako ha iyo han Dyos hin pagtalwas ha iyo ha sugad hini nga urosahon nga paagi ngan pagsiguro nga mabuhi kamo ngan an iyo mga tulin.	Sinugo ako ng Diyos na una sa inyo upang magpanatili para sa inyo ng mga matitira sa daigdig at upang panatilihing buháy para sa inyo ang maraming nakaligtas.
Sanglit diri gud kamo kundi an Dyos amo an nagpadara ha akon nganhi. Ginhimo ako niya nga gilalabawi nga opisyal han hadi. Amo ako an tinaporan han iya bug-os nga nasod; amo ako an punoan han bug-os nga Ehipto.”	Kaya't hindi kayo ang nagsugo sa akin dito, kundi ang Diyos, at ginawa niya ako bilang ama kay Faraon, at bilang panginoon sa kanyang buong bahay, at tagapamahala ng buong lupain ng Ehipto.
“Yana pagdagmit kamo hin pagbalik ngadto han akon tatay ngan sumati hiya nga amo ini an siring ni Jose nga iya anak, ‘Ginhimo ako han Dyos nga punoan han bug-os nga Ehipto; pakadi ha akon hin waray paglangan.	Magmadali kayo at pumunta kayo sa aking ama, at sabihin ninyo sa kanya, ‘Ganito ang sabi ng iyong anak na si Jose: Ginawa ako ng Diyos na panginoon sa buong Ehipto, pumarito ka sa akin, huwag kang magtagal.
Makakag-ukoy ka didto han katunaan han Gosen diin mahihirani kamo ha akon—ikaw, an imo mga anak, an imo mga apo, an imo mga karnero, an imo mga kanding, an imo mga baka, ngan an ngatanan nga iba pa nga imo mga hiagi.	Ikaw ay maninirahan sa lupain ng Goshen, at malalapit ka sa akin, ikaw at ang iyong mga anak, ang mga anak ng iyong mga anak, ang iyong mga kawan, mga bakahan, at ang iyong buong pag-aari.
Kon aadto ka na ha Gosen, makakagmangno ako ha iyo. May lilima pa ka tuig nga gutom; ngan diri ko karuyag nga panggutomon ikaw, an imo panimalay, ngan an imo mga hayop.’”	At doo'y tutustusan kita, sapagkat may limang taong taggutom pa; baka ikaw, at ang iyong sambahayan, at ang lahat ng iyo ay maging dukha.’
Nagpadayon hi Jose, “Yana nakakakita kamo ngatanan, ngan ikaw liwat Benjamin nga amo gud ako hi Jose.	Nakikita ng inyong mga mata at ng mga mata ng aking kapatid na si Benjamin, na ang bibig ko mismo ang nagsasalita sa inyo.
Sumati an akon tatay nga gamhanan na ako dinhe ha Ehipto ngan sumati hiya hiunong han ngatanan nga iyo hinkit-an. Niyan pagdagmit kamo ngan dad-a hiya nganhi.”	Inyong sabihin sa aking ama kung paanong ako'y iginagalang sa Ehipto, at ang lahat ng inyong nakita. Magmadali kayo at dalhin ninyo rito ang aking ama.”
Ginhangkopan niya hi Benjamin nga iya bugto ngan nagtangis hira nga duha; nagtangis liwat hi Benjamin samtang ginggagakos niya hi Jose.	Siya'y humilig sa leeg ng kanyang kapatid na si Benjamin, at umiyak; at si Benjamin ay umiyak sa kanyang leeg.
Ngan samtang nagtitinangis pa hi Jose, ginhangkopan niya an kada usa han iya kabugtoan ngan ginhagkan hira. Katapos hito, nakighimangraw na ha iya an iya kabugtoan.	Kanyang hinagkan ang lahat niyang mga kapatid, at umiyak sa kanila; at pagkatapos ay nakipag-usap sa kanya ang kanyang mga kapatid.
Han pag-abot han sumat ngadto ha palasyo nga nagkaabot an kabugtoan ni Jose, nalipay an hadi ngan an iya mga opisyal.	Nang ang ulat ay naibalita sa sambahayan ng Faraon, “Dumating na ang mga kapatid ni Jose,” ito ay minabuti ni Faraon at ng kanyang mga lingkod.
Nagsiring an hadi kan Jose, “Sidnga an imo kabugtoan nga kargahan an ira mga hayop ngan bumalik hira ngadto han tuna han Canaan.	Sinabi ng Faraon kay Jose, “Sabihin mo sa iyong mga kapatid, ‘Gawin ninyo ito: Kargahan ninyo ang inyong mga hayop, humayo kayo at umuwi sa lupain ng Canaan.
Ipakuha ha ira an ira amay ngan an ira mga panimalay, ngan pabalika hira nganhi. Ighahatag ko ha ira an gimamaupayi nga tuna dinhe ha Ehipto, ngan mahuhura hira hin pagkaon.	Kunin ninyo ang inyong ama at ang inyong mga sambahayan, at pumarito kayo sa akin. Ibibigay ko sa inyo ang pinakamabuti sa lupain ng Ehipto, at inyong tamasahin ang katabaan ng lupain.’
Ipadara liwat ha ira in mga karomata tikang ha Ehipto, para han ira kaasaw-an ngan han ira gudtiay nga kabataan, ngan paupda ha ira an ira amay.	Ngayo'y inuutusan ka, ‘Gawin mo ito: kumuha kayo ng mga karwahe sa lupain ng Ehipto para sa inyong mga anak, at sa inyong mga asawa, at kunin ninyo ang inyong ama at kayo'y pumarito.
Diri hira angay mabaraka hin pagbaya han ira mga butang; magtatag-iya hira han gimamaupayi dinhe han bug-os nga tuna han Ehipto.”	Huwag na ninyong alalahanin pa ang inyong pag-aari, sapagkat ang pinakamabuti ng buong lupain ng Ehipto ay sa inyo.’”
Gintuman han mga anak ni Jacob sumala han iginsiring ha ira. Gintagan hira ni Jose hin mga karomata ngan pagkaon para han ira paglalaktan sumala han iginsugo han hadi.	Ganoon nga ang ginawa ng mga anak ni Israel, at ayon sa sinabi ng Faraon ay binigyan sila ni Jose ng mga karwahe, at ng mababaon sa daan.
Gintagan liwat niya hin liliwanan nga panapton an kada usa ha ira, kundi gintagan niya hi Benjamin hin tulo ka gatos ka bug-os nga salapi ngan lima nga liliwanan nga mga panapton.	Sa kanilang lahat ay nagbigay siya ng mga pampalit na bihisan; ngunit kay Benjamin ay nagbigay siya ng tatlong daang pirasong pilak, at limang pampalit na bihisan.
Ginpadad-an niya an iya amay hin napulo nga mga asno nga kargado han labi kamaupay, nga mga butang ha Ehipto, ngan napulo nga mga asno nga kargado hin mga liniso, tinapay, ngan iba pa nga pagkaon para han ira paglalaktan.	Sa kanyang ama ay nagpadala siya ng ganito: sampung asnong may pasang mabuting mga bagay mula sa Ehipto, at sampung babaing asno na may pasang trigo, tinapay, at pagkain ng kanyang ama sa daan.
Ginpagikan niya an iya kabugtoan ngan han nalakat na hira, gintugon niya hira, “Ayaw kamo pag-aruaraway dida han dalan.”	Kaya't kanyang pinahayo ang kanyang mga kapatid, at sila'y umalis at kanyang sinabi sa kanila, “Huwag kayong mag-aaway sa daan.”
Ginmawas hira han Ehipto ngan nangoli hira ngadto kan Jacob nga ira amay didto ha Canaan.	Sila'y umahon mula sa Ehipto, at dumating sa lupain ng Canaan, kay Jacob na kanilang ama.
Ira ginsumatan hiya, “Buhi pa hi Jose! Amo hiya an punoan han bug-os nga Ehipto!” Nahitingala hi Jacob, ngan waray gud hiya anay tutuod ha ira.	Kanilang sinabi sa kanya, “Si Jose ay buháy pa! Sa katunaya'y siya ang pinuno sa buong lupain ng Ehipto.” Siya ay nabigla; hindi siya makapaniwala sa kanila.
Kundi han ira nagpagsumati ha iya han ngatanan nga iginsiring ha ira ni Jose, ngan han paghikit-i niya han mga karomata nga iginpadara ni Jose para hin pagdara ha iya ngadto ha Ehipto, nawara an iya paghitingala ngan nalipay hiya.	Subalit nang kanilang sabihin sa kanya ang lahat ng mga salita na sinabi ni Jose sa kanila, at nang kanyang makita ang mga karwahe na ipinadala ni Jose upang dalhin siya, ay nanauli ang diwa ni Jacob na kanilang ama.
Nagsiring hiya, “Buhi pa hi Jose nga akon anak! Amo la ini an akon pinangangaro. Kinahanglan kumadto ako ngan hikit-an ko hiya san-o ako mamatay.”	At sinabi ni Israel, “Sapat na! Si Jose na aking anak ay buháy pa. Dapat akong pumunta at makita siya bago ako mamatay.”
Namutos ni Jacob han ngatanan nga iya mga hiagi ngan kinmadto hiya ha Berseba, diin naghalad hiya hin mga halad nga tinubod ngadto han Dyos ni Isaac nga iya amay.	Kaya't si Israel, dala ang lahat niyang pag-aari ay naglakbay at dumating sa Beer-seba, at doon ay nag-alay ng mga handog sa Diyos ng kanyang amang si Isaac.
Naghimangraw ha iya an Dyos dida hin usa nga panan-awon ha gab-i ngan nagtawag, “Jacob, Jacob!” Binmaton hiya, “Oo, aadi ako.”	Ang Diyos ay nagsalita kay Israel sa mga pangitain sa gabi, at sinabi, “Jacob, Jacob.” Sumagot siya, “Narito ako.”
“Amo ako an Dyos nga Dyos han imo amay,” nagsiring an Dyos. “Ayaw kahadlok hin pagkadto ha Ehipto; didto hihimoon ko nga dako nga nasod an imo mga tulin.	Kanyang sinabi, “Ako ang Diyos, ang Diyos ng iyong ama; huwag kang matakot na pumunta sa Ehipto sapagkat doo'y gagawin kitang isang dakilang bansa.
Maupod ako ha imo ngadto ha Ehipto ngan igbabalik ko an imo mga tulin nganhi hini nga tuna. Aada ha imo kagiliran hi Jose kon mamatay ka.”	Ako'y pupuntang kasama mo sa Ehipto, at muli rin kitang ibabalik; at isasara ng kamay ni Jose ang iyong mga mata.”
Ginmikan hi Jacob tikang ha Berseba. Ginpasakay han iya mga anak hiya, an ira kabataan, ngan an ira kaasaw-an dida han mga karomata nga ginpadara han hadi han Ehipto.	Kaya't naglakbay si Jacob mula sa Beer-seba at dinala ng mga anak ni Israel si Jacob na kanilang ama, ang kanilang mga anak, at ang kanilang mga asawa, sa mga karwahe na ipinadala ng Faraon kay Jacob.
Gindara nira an ira mga hayop ngan an mga hiagi nga naangkon nira didto ha Canaan, ngan kinmadto hira ha Ehipto. Ginpaupod ni Jacob an ngatanan niya nga mga tulin:	Kanilang dinala rin ang kanilang mga hayop, ang mga pag-aari na kanilang natamo sa lupain ng Canaan, at dumating sa Ehipto si Jacob at ang lahat ng inapong kasama niya.
an iya mga anak nga kalalaken-an ngan mga apo nga kalalaken-an, ngan an iya mga anak nga kababayen-an ngan mga apo nga kababayen-an.	Ang kanyang mga anak na lalaki at babae, at ang mga anak na lalaki at babae ng kanyang mga anak na kasama niya, at ang kanyang buong binhi ay dinala niya sa Ehipto.
Amo ini an mga kaapi han panimalay ni Jacob nga inmupod ha iya ngadto ha Ehipto: an gimamagurangi nga anak ni Jacob nga hi Ruben,	Ito ang mga pangalan ng mga Israelita, si Jacob at ang kanyang mga inapo na dumating sa Ehipto: si Ruben na anak na panganay ni Jacob.
ngan an mga anak nga kalalaken-an ni Ruben: hira Hanoc, Falu, Hesron, ug Carmi.	Ang mga anak ni Ruben: sina Hanoc, Fallu, Hesron, at Carmi.
Hi Simeon ngan an iya mga anak: hira Jemuel, Jamin, Ohad, Jaquin, Zohar, ug Saul nga anak hin babaye nga Canaanhon.	Ang mga anak ni Simeon: sina Jemuel, Jamin, Ohad, Jakin, Zohar, at si Shaul na anak ng isang babaing taga-Canaan.
Hi Levi ngan an iya mga anak: hira Gerson, Coat, ug Merari.	Ang mga anak ni Levi: sina Gershon, Kohat, at si Merari.
Hi Juda ngan an iya mga anak: hira Sela, Peres, ug Sera (namatay didto ha Canaan an iba nga mga anak ni Juda nga hira Er ug Onan). Hira Hesron ug Hamul nga mga anak ni Peres.	Ang mga anak ni Juda: sina Er, Onan, Shela, Perez, at si Zera; ngunit sina Er at Onan ay namatay sa lupain ng Canaan. At ang mga anak ni Perez ay sina Hesron at Hamul.
Hi Isacar ngan an iya mga anak: hira Tola, Pua, Jasub, ug Simron.	Ang mga anak ni Isacar: sina Tola, Pua, Job, at si Simron.
Hi Zabulon ngan an iya mga anak: hira Sered, Elon, ug Jaleel.	Ang mga anak ni Zebulon: sina Sered, Elon, at si Jalel
